Country,League,Matchday,Hometeam,Awayteam
Germany,Bundesliga 1,1,Bayern Munich,RB Leipzig
Germany,Bundesliga 1,1,Heidenheim,Wolfsburg
Germany,Bundesliga 1,1,Union Berlin,Stuttgart
Germany,Bundesliga 1,1,Freiburg,Augsburg
Germany,Bundesliga 1,1,Ein Frankfurt,Werder Bremen
Germany,Bundesliga 1,1,Leverkusen,Hoffenheim
Germany,Bundesliga 1,1,St Pauli,Dortmund
Germany,Bundesliga 1,1,Mainz,FC Koln
Germany,Bundesliga 1,1,M'gladbach,Hamburg
Germany,Bundesliga 1,2,Hamburg,St Pauli
Germany,Bundesliga 1,2,Hoffenheim,Ein Frankfurt
Germany,Bundesliga 1,2,Stuttgart,M'gladbach
Germany,Bundesliga 1,2,Werder Bremen,Leverkusen
Germany,Bundesliga 1,2,RB Leipzig,Heidenheim
Germany,Bundesliga 1,2,Augsburg,Bayern Munich
Germany,Bundesliga 1,2,Wolfsburg,Mainz
Germany,Bundesliga 1,2,Dortmund,Union Berlin
Germany,Bundesliga 1,2,FC Koln,Freiburg
Germany,Bundesliga 1,3,Leverkusen,Ein Frankfurt
Germany,Bundesliga 1,3,Heidenheim,Dortmund
Germany,Bundesliga 1,3,Union Berlin,Hoffenheim
Germany,Bundesliga 1,3,Wolfsburg,FC Koln
Germany,Bundesliga 1,3,Mainz,RB Leipzig
Germany,Bundesliga 1,3,Freiburg,Stuttgart
Germany,Bundesliga 1,3,Bayern Munich,Hamburg
Germany,Bundesliga 1,3,St Pauli,Augsburg
Germany,Bundesliga 1,3,M'gladbach,Werder Bremen
Germany,Bundesliga 1,4,Stuttgart,St Pauli
Germany,Bundesliga 1,4,Hamburg,Heidenheim
Germany,Bundesliga 1,4,Hoffenheim,Bayern Munich
Germany,Bundesliga 1,4,Augsburg,Mainz
Germany,Bundesliga 1,4,Werder Bremen,Freiburg
Germany,Bundesliga 1,4,RB Leipzig,FC Koln
Germany,Bundesliga 1,4,Ein Frankfurt,Union Berlin
Germany,Bundesliga 1,4,Leverkusen,M'gladbach
Germany,Bundesliga 1,4,Dortmund,Wolfsburg
Germany,Bundesliga 1,5,Bayern Munich,Werder Bremen
Germany,Bundesliga 1,5,Heidenheim,Augsburg
Germany,Bundesliga 1,5,St Pauli,Leverkusen
Germany,Bundesliga 1,5,Wolfsburg,RB Leipzig
Germany,Bundesliga 1,5,Mainz,Dortmund
Germany,Bundesliga 1,5,M'gladbach,Ein Frankfurt
Germany,Bundesliga 1,5,Freiburg,Hoffenheim
Germany,Bundesliga 1,5,FC Koln,Stuttgart
Germany,Bundesliga 1,5,Union Berlin,Hamburg
Germany,Bundesliga 1,6,Hoffenheim,FC Koln
Germany,Bundesliga 1,6,Augsburg,Wolfsburg
Germany,Bundesliga 1,6,Werder Bremen,St Pauli
Germany,Bundesliga 1,6,Dortmund,RB Leipzig
Germany,Bundesliga 1,6,Leverkusen,Union Berlin
Germany,Bundesliga 1,6,Ein Frankfurt,Bayern Munich
Germany,Bundesliga 1,6,Stuttgart,Heidenheim
Germany,Bundesliga 1,6,Hamburg,Mainz
Germany,Bundesliga 1,6,M'gladbach,Freiburg
Germany,Bundesliga 1,7,Union Berlin,M'gladbach
Germany,Bundesliga 1,7,FC Koln,Augsburg
Germany,Bundesliga 1,7,Heidenheim,Werder Bremen
Germany,Bundesliga 1,7,Wolfsburg,Stuttgart
Germany,Bundesliga 1,7,RB Leipzig,Hamburg
Germany,Bundesliga 1,7,Mainz,Leverkusen
Germany,Bundesliga 1,7,Bayern Munich,Dortmund
Germany,Bundesliga 1,7,Freiburg,Ein Frankfurt
Germany,Bundesliga 1,7,St Pauli,Hoffenheim
Germany,Bundesliga 1,8,Werder Bremen,Union Berlin
Germany,Bundesliga 1,8,Hamburg,Wolfsburg
Germany,Bundesliga 1,8,Hoffenheim,Heidenheim
Germany,Bundesliga 1,8,Augsburg,RB Leipzig
Germany,Bundesliga 1,8,M'gladbach,Bayern Munich
Germany,Bundesliga 1,8,Ein Frankfurt,St Pauli
Germany,Bundesliga 1,8,Dortmund,FC Koln
Germany,Bundesliga 1,8,Leverkusen,Freiburg
Germany,Bundesliga 1,8,Stuttgart,Mainz
Germany,Bundesliga 1,9,Augsburg,Dortmund
Germany,Bundesliga 1,9,Heidenheim,Ein Frankfurt
Germany,Bundesliga 1,9,St Pauli,M'gladbach
Germany,Bundesliga 1,9,Union Berlin,Freiburg
Germany,Bundesliga 1,9,RB Leipzig,Stuttgart
Germany,Bundesliga 1,9,Mainz,Werder Bremen
Germany,Bundesliga 1,9,Bayern Munich,Leverkusen
Germany,Bundesliga 1,9,FC Koln,Hamburg
Germany,Bundesliga 1,9,Wolfsburg,Hoffenheim
Germany,Bundesliga 1,10,Werder Bremen,Wolfsburg
Germany,Bundesliga 1,10,Hamburg,Dortmund
Germany,Bundesliga 1,10,Hoffenheim,RB Leipzig
Germany,Bundesliga 1,10,Union Berlin,Bayern Munich
Germany,Bundesliga 1,10,Leverkusen,Heidenheim
Germany,Bundesliga 1,10,M'gladbach,FC Koln
Germany,Bundesliga 1,10,Freiburg,St Pauli
Germany,Bundesliga 1,10,Stuttgart,Augsburg
Germany,Bundesliga 1,10,Ein Frankfurt,Mainz
Germany,Bundesliga 1,11,Mainz,Hoffenheim
Germany,Bundesliga 1,11,Heidenheim,M'gladbach
Germany,Bundesliga 1,11,Augsburg,Hamburg
Germany,Bundesliga 1,11,Wolfsburg,Leverkusen
Germany,Bundesliga 1,11,Dortmund,Stuttgart
Germany,Bundesliga 1,11,Bayern Munich,Freiburg
Germany,Bundesliga 1,11,FC Koln,Ein Frankfurt
Germany,Bundesliga 1,11,RB Leipzig,Werder Bremen
Germany,Bundesliga 1,11,St Pauli,Union Berlin
Germany,Bundesliga 1,12,M'gladbach,RB Leipzig
Germany,Bundesliga 1,12,Hoffenheim,Augsburg
Germany,Bundesliga 1,12,Union Berlin,Heidenheim
Germany,Bundesliga 1,12,Werder Bremen,FC Koln
Germany,Bundesliga 1,12,Bayern Munich,St Pauli
Germany,Bundesliga 1,12,Leverkusen,Dortmund
Germany,Bundesliga 1,12,Hamburg,Stuttgart
Germany,Bundesliga 1,12,Ein Frankfurt,Wolfsburg
Germany,Bundesliga 1,12,Freiburg,Mainz
Germany,Bundesliga 1,13,Hamburg,Werder Bremen
Germany,Bundesliga 1,13,FC Koln,St Pauli
Germany,Bundesliga 1,13,Heidenheim,Freiburg
Germany,Bundesliga 1,13,Augsburg,Leverkusen
Germany,Bundesliga 1,13,Wolfsburg,Union Berlin
Germany,Bundesliga 1,13,Stuttgart,Bayern Munich
Germany,Bundesliga 1,13,RB Leipzig,Ein Frankfurt
Germany,Bundesliga 1,13,Mainz,M'gladbach
Germany,Bundesliga 1,13,Dortmund,Hoffenheim
Germany,Bundesliga 1,14,Hoffenheim,Hamburg
Germany,Bundesliga 1,14,St Pauli,Heidenheim
Germany,Bundesliga 1,14,Union Berlin,RB Leipzig
Germany,Bundesliga 1,14,M'gladbach,Wolfsburg
Germany,Bundesliga 1,14,Werder Bremen,Stuttgart
Germany,Bundesliga 1,14,Freiburg,Dortmund
Germany,Bundesliga 1,14,Ein Frankfurt,Augsburg
Germany,Bundesliga 1,14,Leverkusen,FC Koln
Germany,Bundesliga 1,14,Bayern Munich,Mainz
Germany,Bundesliga 1,15,Hamburg,Ein Frankfurt
Germany,Bundesliga 1,15,FC Koln,Union Berlin
Germany,Bundesliga 1,15,Heidenheim,Bayern Munich
Germany,Bundesliga 1,15,Augsburg,Werder Bremen
Germany,Bundesliga 1,15,Wolfsburg,Freiburg
Germany,Bundesliga 1,15,Stuttgart,Hoffenheim
Germany,Bundesliga 1,15,RB Leipzig,Leverkusen
Germany,Bundesliga 1,15,Mainz,St Pauli
