Country,League,Matchday,Hometeam,Awayteam
England,Championship,1,Birmingham,Ipswich
England,Championship,1,Charlton,Watford
England,Championship,1,Coventry,Hull
England,Championship,1,Southampton,Wrexham
England,Championship,1,Middlesbrough,Swansea
England,Championship,1,Norwich,Millwall
England,Championship,1,Oxford,Portsmouth
England,Championship,1,QPR,Preston
England,Championship,1,Stoke,Derby
England,Championship,1,West Brom,Blackburn
England,Championship,1,Sheffield United,Bristol City
England,Championship,1,Leicester,Sheffield Weds
England,Championship,2,Derby,Coventry
England,Championship,2,Portsmouth,Norwich
England,Championship,2,Wrexham,West Brom
England,Championship,2,Blackburn,Birmingham
England,Championship,2,Bristol City,Charlton
England,Championship,2,Millwall,Middlesbrough
England,Championship,2,Preston,Leicester
England,Championship,2,Sheffield Weds,Stoke
England,Championship,2,Swansea,Sheffield United
England,Championship,2,Watford,QPR
England,Championship,2,Ipswich,Southampton
England,Championship,2,Hull,Oxford
England,Championship,3,Derby,Bristol City
England,Championship,3,Charlton,Leicester
England,Championship,3,Hull,Blackburn
England,Championship,3,Swansea,Watford
England,Championship,3,Birmingham,Oxford
England,Championship,3,Coventry,QPR
England,Championship,3,Norwich,Middlesbrough
England,Championship,3,Preston,Ipswich
England,Championship,3,Sheffield United,Millwall
England,Championship,3,Southampton,Stoke
England,Championship,3,West Brom,Portsmouth
England,Championship,3,Wrexham,Sheffield Weds
England,Championship,4,Leicester,Birmingham
England,Championship,4,Middlesbrough,Sheffield United
England,Championship,4,QPR,Charlton
England,Championship,4,Stoke,West Brom
England,Championship,4,Blackburn,Norwich
England,Championship,4,Bristol City,Hull
England,Championship,4,Ipswich,Derby
England,Championship,4,Millwall,Wrexham
England,Championship,4,Oxford,Coventry
England,Championship,4,Portsmouth,Preston
England,Championship,4,Sheffield Weds,Swansea
England,Championship,4,Watford,Southampton
England,Championship,5,Ipswich,Sheffield United
England,Championship,5,Charlton,Millwall
England,Championship,5,Oxford,Leicester
England,Championship,5,Preston,Middlesbrough
England,Championship,5,Coventry,Norwich
England,Championship,5,Sheffield Weds,Bristol City
England,Championship,5,Stoke,Birmingham
England,Championship,5,Swansea,Hull
England,Championship,5,Watford,Blackburn
England,Championship,5,West Brom,Derby
England,Championship,5,Wrexham,QPR
England,Championship,5,Southampton,Portsmouth
England,Championship,6,Middlesbrough,West Brom
England,Championship,6,Birmingham,Swansea
England,Championship,6,Leicester,Coventry
England,Championship,6,QPR,Stoke
England,Championship,6,Derby,Preston
England,Championship,6,Hull,Southampton
England,Championship,6,Norwich,Wrexham
England,Championship,6,Portsmouth,Sheffield Weds
England,Championship,6,Sheffield United,Charlton
England,Championship,6,Bristol City,Oxford
England,Championship,6,Millwall,Watford
England,Championship,6,Blackburn,Ipswich
England,Championship,7,West Brom,Leicester
England,Championship,7,Coventry,Birmingham
England,Championship,7,Swansea,Millwall
England,Championship,7,Wrexham,Derby
England,Championship,7,Charlton,Blackburn
England,Championship,7,Ipswich,Portsmouth
England,Championship,7,Oxford,Sheffield United
England,Championship,7,Preston,Bristol City
England,Championship,7,Sheffield Weds,QPR
England,Championship,7,Southampton,Middlesbrough
England,Championship,7,Stoke,Norwich
England,Championship,7,Watford,Hull
England,Championship,8,Birmingham,Sheffield Weds
England,Championship,8,Blackburn,Swansea
England,Championship,8,Bristol City,Ipswich
England,Championship,8,Hull,Preston
England,Championship,8,Leicester,Wrexham
England,Championship,8,Middlesbrough,Stoke
England,Championship,8,Sheffield United,Southampton
England,Championship,8,Derby,Charlton
England,Championship,8,Millwall,Coventry
England,Championship,8,Norwich,West Brom
England,Championship,8,Portsmouth,Watford
England,Championship,8,QPR,Oxford
England,Championship,9,Wrexham,Birmingham
England,Championship,9,Blackburn,Stoke
England,Championship,9,Hull,Sheffield United
England,Championship,9,Sheffield Weds,Coventry
England,Championship,9,Bristol City,QPR
England,Championship,9,Derby,Southampton
England,Championship,9,Millwall,West Brom
England,Championship,9,Portsmouth,Middlesbrough
England,Championship,9,Preston,Charlton
England,Championship,9,Swansea,Leicester
England,Championship,9,Watford,Oxford
England,Championship,9,Ipswich,Norwich
England,Championship,10,Middlesbrough,Ipswich
England,Championship,10,Oxford,Derby
England,Championship,10,QPR,Millwall
England,Championship,10,Southampton,Swansea
England,Championship,10,Birmingham,Hull
England,Championship,10,Charlton,Sheffield Weds
England,Championship,10,Coventry,Blackburn
England,Championship,10,Norwich,Bristol City
England,Championship,10,Sheffield United,Watford
England,Championship,10,Stoke,Wrexham
England,Championship,10,West Brom,Preston
England,Championship,10,Leicester,Portsmouth
England,Championship,11,Blackburn,Sheffield United
England,Championship,11,Derby,Norwich
England,Championship,11,Hull,Leicester
England,Championship,11,Ipswich,Charlton
England,Championship,11,Millwall,Stoke
England,Championship,11,Portsmouth,Coventry
England,Championship,11,Preston,Birmingham
England,Championship,11,Bristol City,Southampton
England,Championship,11,Swansea,QPR
England,Championship,11,Watford,West Brom
England,Championship,11,Wrexham,Oxford
England,Championship,11,Sheffield Weds,Middlesbrough
England,Championship,12,Preston,Sheffield United
England,Championship,12,Coventry,Watford
England,Championship,12,Ipswich,West Brom
England,Championship,12,Portsmouth,Stoke
England,Championship,12,Blackburn,Southampton
