Country,League,Matchday,Hometeam,Awayteam
Netherlands,Eredivisie,1,For Sittard,Go Ahead Eagles
Netherlands,Eredivisie,1,Nijmegen,Excelsior
Netherlands,Eredivisie,1,Feyenoord,NAC Breda
Netherlands,Eredivisie,1,Heerenveen,Volendam
Netherlands,Eredivisie,1,PSV Eindhoven,Sparta Rotterdam
Netherlands,Eredivisie,1,Zwolle,Twente
Netherlands,Eredivisie,1,AZ Alkmaar,Groningen
Netherlands,Eredivisie,1,Ajax,Telstar
Netherlands,Eredivisie,1,Utrecht,Heracles
Netherlands,Eredivisie,2,Telstar,Zwolle
Netherlands,Eredivisie,2,Excelsior,Feyenoord
Netherlands,Eredivisie,2,Heracles,Nijmegen
Netherlands,Eredivisie,2,Groningen,Heerenveen
Netherlands,Eredivisie,2,Go Ahead Eagles,Ajax
Netherlands,Eredivisie,2,Sparta Rotterdam,Utrecht
Netherlands,Eredivisie,2,Twente,PSV Eindhoven
Netherlands,Eredivisie,2,Volendam,AZ Alkmaar
Netherlands,Eredivisie,2,NAC Breda,For Sittard
Netherlands,Eredivisie,3,Go Ahead Eagles,Sparta Rotterdam
Netherlands,Eredivisie,3,PSV Eindhoven,Groningen
Netherlands,Eredivisie,3,Telstar,Volendam
Netherlands,Eredivisie,3,Heerenveen,Twente
Netherlands,Eredivisie,3,Nijmegen,NAC Breda
Netherlands,Eredivisie,3,Utrecht,Excelsior
Netherlands,Eredivisie,3,Ajax,Heracles
Netherlands,Eredivisie,3,Feyenoord,For Sittard
Netherlands,Eredivisie,3,AZ Alkmaar,Zwolle
Netherlands,Eredivisie,4,Groningen,Heracles
Netherlands,Eredivisie,4,Volendam,Ajax
Netherlands,Eredivisie,4,Heerenveen,Go Ahead Eagles
Netherlands,Eredivisie,4,PSV Eindhoven,Telstar
Netherlands,Eredivisie,4,Excelsior,Twente
Netherlands,Eredivisie,4,For Sittard,Nijmegen
Netherlands,Eredivisie,4,Sparta Rotterdam,Feyenoord
Netherlands,Eredivisie,4,Zwolle,Utrecht
Netherlands,Eredivisie,4,NAC Breda,AZ Alkmaar
Netherlands,Eredivisie,5,Ajax,Zwolle
Netherlands,Eredivisie,5,Nijmegen,PSV Eindhoven
Netherlands,Eredivisie,5,Go Ahead Eagles,Volendam
Netherlands,Eredivisie,5,Twente,NAC Breda
Netherlands,Eredivisie,5,Feyenoord,Heerenveen
Netherlands,Eredivisie,5,Excelsior,Sparta Rotterdam
Netherlands,Eredivisie,5,Utrecht,Groningen
Netherlands,Eredivisie,5,Heracles,AZ Alkmaar
Netherlands,Eredivisie,5,Telstar,For Sittard
Netherlands,Eredivisie,6,Sparta Rotterdam,Twente
Netherlands,Eredivisie,6,Volendam,Excelsior
Netherlands,Eredivisie,6,Groningen,Telstar
Netherlands,Eredivisie,6,For Sittard,Utrecht
Netherlands,Eredivisie,6,NAC Breda,Heracles
Netherlands,Eredivisie,6,Zwolle,Go Ahead Eagles
Netherlands,Eredivisie,6,PSV Eindhoven,Ajax
Netherlands,Eredivisie,6,Heerenveen,Nijmegen
Netherlands,Eredivisie,6,AZ Alkmaar,Feyenoord
Netherlands,Eredivisie,7,Twente,For Sittard
Netherlands,Eredivisie,7,Ajax,NAC Breda
Netherlands,Eredivisie,7,Volendam,Zwolle
Netherlands,Eredivisie,7,Excelsior,PSV Eindhoven
Netherlands,Eredivisie,7,Heracles,Sparta Rotterdam
Netherlands,Eredivisie,7,Nijmegen,AZ Alkmaar
Netherlands,Eredivisie,7,Groningen,Feyenoord
Netherlands,Eredivisie,7,Utrecht,Heerenveen
Netherlands,Eredivisie,7,Telstar,Go Ahead Eagles
Netherlands,Eredivisie,8,NAC Breda,Groningen
Netherlands,Eredivisie,8,Sparta Rotterdam,Ajax
Netherlands,Eredivisie,8,For Sittard,Volendam
Netherlands,Eredivisie,8,Zwolle,PSV Eindhoven
Netherlands,Eredivisie,8,Heerenveen,Excelsior
Netherlands,Eredivisie,8,Twente,Heracles
Netherlands,Eredivisie,8,Feyenoord,Utrecht
Netherlands,Eredivisie,8,AZ Alkmaar,Telstar
Netherlands,Eredivisie,8,Go Ahead Eagles,Nijmegen
Netherlands,Eredivisie,9,Nijmegen,Twente
Netherlands,Eredivisie,9,PSV Eindhoven,Go Ahead Eagles
Netherlands,Eredivisie,9,Utrecht,Volendam
Netherlands,Eredivisie,9,Ajax,AZ Alkmaar
Netherlands,Eredivisie,9,NAC Breda,Zwolle
Netherlands,Eredivisie,9,Telstar,Heerenveen
Netherlands,Eredivisie,9,Excelsior,For Sittard
Netherlands,Eredivisie,9,Groningen,Sparta Rotterdam
Netherlands,Eredivisie,9,Heracles,Feyenoord
Netherlands,Eredivisie,10,Heerenveen,NAC Breda
Netherlands,Eredivisie,10,For Sittard,Groningen
Netherlands,Eredivisie,10,Sparta Rotterdam,Telstar
Netherlands,Eredivisie,10,Volendam,Heracles
Netherlands,Eredivisie,10,Zwolle,Nijmegen
Netherlands,Eredivisie,10,Twente,Ajax
Netherlands,Eredivisie,10,Feyenoord,PSV Eindhoven
Netherlands,Eredivisie,10,AZ Alkmaar,Utrecht
Netherlands,Eredivisie,10,Go Ahead Eagles,Excelsior
Netherlands,Eredivisie,11,PSV Eindhoven,For Sittard
Netherlands,Eredivisie,11,Ajax,Heerenveen
Netherlands,Eredivisie,11,NAC Breda,Go Ahead Eagles
Netherlands,Eredivisie,11,Feyenoord,Volendam
Netherlands,Eredivisie,11,Telstar,Excelsior
Netherlands,Eredivisie,11,Heracles,Zwolle
Netherlands,Eredivisie,11,Groningen,Twente
Netherlands,Eredivisie,11,Sparta Rotterdam,AZ Alkmaar
Netherlands,Eredivisie,11,Utrecht,Nijmegen
Netherlands,Eredivisie,12,Twente,Telstar
Netherlands,Eredivisie,12,Excelsior,Heracles
Netherlands,Eredivisie,12,Volendam,NAC Breda
Netherlands,Eredivisie,12,For Sittard,Heerenveen
Netherlands,Eredivisie,12,Zwolle,Sparta Rotterdam
Netherlands,Eredivisie,12,Utrecht,Ajax
Netherlands,Eredivisie,12,Nijmegen,Groningen
Netherlands,Eredivisie,12,AZ Alkmaar,PSV Eindhoven
Netherlands,Eredivisie,12,Go Ahead Eagles,Feyenoord
Netherlands,Eredivisie,13,NAC Breda,PSV Eindhoven
Netherlands,Eredivisie,13,Ajax,Excelsior
Netherlands,Eredivisie,13,Volendam,Twente
Netherlands,Eredivisie,13,Heracles,Go Ahead Eagles
Netherlands,Eredivisie,13,Sparta Rotterdam,For Sittard
Netherlands,Eredivisie,13,Heerenveen,AZ Alkmaar
Netherlands,Eredivisie,13,Feyenoord,Nijmegen
Netherlands,Eredivisie,13,Telstar,Utrecht
Netherlands,Eredivisie,13,Groningen,Zwolle
Netherlands,Eredivisie,14,Zwolle,Heerenveen
Netherlands,Eredivisie,14,Excelsior,NAC Breda
Netherlands,Eredivisie,14,For Sittard,Heracles
