Country,League,Matchday,Hometeam,Awayteam
Portugal,Liga Portugal,1,Benfica,Rio Ave
Portugal,Liga Portugal,1,Porto,Guimaraes
Portugal,Liga Portugal,1,Estoril,Estrela
Portugal,Liga Portugal,1,Sp Braga,Tondela
Portugal,Liga Portugal,1,Moreirense,Alverca
Portugal,Liga Portugal,1,Famalicao,Santa Clara
Portugal,Liga Portugal,1,Arouca,AVS
Portugal,Liga Portugal,1,Nacional,Gil Vicente
Portugal,Liga Portugal,1,Casa Pia,Sp Lisbon
Portugal,Liga Portugal,2,Gil Vicente,Porto
Portugal,Liga Portugal,2,Sp Lisbon,Arouca
Portugal,Liga Portugal,2,Alverca,Sp Braga
Portugal,Liga Portugal,2,Santa Clara,Moreirense
Portugal,Liga Portugal,2,Rio Ave,Nacional
Portugal,Liga Portugal,2,Estrela,Benfica
Portugal,Liga Portugal,2,Guimaraes,Estoril
Portugal,Liga Portugal,2,Tondela,Famalicao
Portugal,Liga Portugal,2,AVS,Casa Pia
Portugal,Liga Portugal,3,Estoril,Santa Clara
Portugal,Liga Portugal,3,Estrela,Alverca
Portugal,Liga Portugal,3,Sp Braga,AVS
Portugal,Liga Portugal,3,Porto,Casa Pia
Portugal,Liga Portugal,3,Famalicao,Gil Vicente
Portugal,Liga Portugal,3,Arouca,Rio Ave
Portugal,Liga Portugal,3,Benfica,Tondela
Portugal,Liga Portugal,3,Nacional,Sp Lisbon
Portugal,Liga Portugal,3,Moreirense,Guimaraes
Portugal,Liga Portugal,4,Rio Ave,Sp Braga
Portugal,Liga Portugal,4,Santa Clara,Estrela
Portugal,Liga Portugal,4,Alverca,Benfica
Portugal,Liga Portugal,4,Tondela,Estoril
Portugal,Liga Portugal,4,Sp Lisbon,Porto
Portugal,Liga Portugal,4,AVS,Famalicao
Portugal,Liga Portugal,4,Guimaraes,Arouca
Portugal,Liga Portugal,4,Casa Pia,Nacional
Portugal,Liga Portugal,4,Gil Vicente,Moreirense
Portugal,Liga Portugal,5,Sp Braga,Gil Vicente
Portugal,Liga Portugal,5,Arouca,Casa Pia
Portugal,Liga Portugal,5,Estrela,Guimaraes
Portugal,Liga Portugal,5,Famalicao,Sp Lisbon
Portugal,Liga Portugal,5,Porto,Nacional
Portugal,Liga Portugal,5,Estoril,AVS
Portugal,Liga Portugal,5,Moreirense,Rio Ave
Portugal,Liga Portugal,5,Alverca,Tondela
Portugal,Liga Portugal,5,Benfica,Santa Clara
Portugal,Liga Portugal,6,Sp Lisbon,Moreirense
Portugal,Liga Portugal,6,Casa Pia,Famalicao
Portugal,Liga Portugal,6,Gil Vicente,Estoril
Portugal,Liga Portugal,6,Tondela,Estrela
Portugal,Liga Portugal,6,Guimaraes,Sp Braga
Portugal,Liga Portugal,6,AVS,Benfica
Portugal,Liga Portugal,6,Nacional,Arouca
Portugal,Liga Portugal,6,Santa Clara,Alverca
Portugal,Liga Portugal,6,Rio Ave,Porto
Portugal,Liga Portugal,7,Arouca,Porto
Portugal,Liga Portugal,7,Famalicao,Rio Ave
Portugal,Liga Portugal,7,Sp Braga,Nacional
Portugal,Liga Portugal,7,Alverca,Guimaraes
Portugal,Liga Portugal,7,Estoril,Sp Lisbon
Portugal,Liga Portugal,7,Estrela,AVS
Portugal,Liga Portugal,7,Santa Clara,Tondela
Portugal,Liga Portugal,7,Moreirense,Casa Pia
Portugal,Liga Portugal,7,Benfica,Gil Vicente
Portugal,Liga Portugal,8,Porto,Benfica
Portugal,Liga Portugal,8,Sp Lisbon,Sp Braga
Portugal,Liga Portugal,8,Rio Ave,Tondela
Portugal,Liga Portugal,8,Arouca,Famalicao
Portugal,Liga Portugal,8,Guimaraes,Santa Clara
Portugal,Liga Portugal,8,AVS,Alverca
Portugal,Liga Portugal,8,Gil Vicente,Estrela
Portugal,Liga Portugal,8,Nacional,Moreirense
Portugal,Liga Portugal,8,Casa Pia,Estoril
Portugal,Liga Portugal,9,Moreirense,Porto
Portugal,Liga Portugal,9,Sp Braga,Casa Pia
Portugal,Liga Portugal,9,Tondela,Sp Lisbon
Portugal,Liga Portugal,9,Estoril,Nacional
Portugal,Liga Portugal,9,Famalicao,Guimaraes
Portugal,Liga Portugal,9,Benfica,Arouca
Portugal,Liga Portugal,9,Estrela,Rio Ave
Portugal,Liga Portugal,9,Santa Clara,AVS
Portugal,Liga Portugal,9,Alverca,Gil Vicente
Portugal,Liga Portugal,10,Gil Vicente,Santa Clara
Portugal,Liga Portugal,10,Porto,Sp Braga
Portugal,Liga Portugal,10,Arouca,Moreirense
Portugal,Liga Portugal,10,AVS,Tondela
Portugal,Liga Portugal,10,Guimaraes,Benfica
