Country,League,Matchday,Hometeam,Awayteam
Spain,La Liga Primera,1,Alaves,Levante
Spain,La Liga Primera,1,Ath Bilbao,Sevilla
Spain,La Liga Primera,1,Celta,Getafe
Spain,La Liga Primera,1,Girona,Vallecano
Spain,La Liga Primera,1,Espanol,Ath Madrid
Spain,La Liga Primera,1,Mallorca,Barcelona
Spain,La Liga Primera,1,Elche,Betis
Spain,La Liga Primera,1,Real Madrid,Osasuna
Spain,La Liga Primera,1,Valencia,Sociedad
Spain,La Liga Primera,1,Villarreal,Oviedo
Spain,La Liga Primera,2,Ath Bilbao,Vallecano
Spain,La Liga Primera,2,Ath Madrid,Elche
Spain,La Liga Primera,2,Osasuna,Valencia
Spain,La Liga Primera,2,Oviedo,Real Madrid
Spain,La Liga Primera,2,Betis,Alaves
Spain,La Liga Primera,2,Levante,Barcelona
Spain,La Liga Primera,2,Mallorca,Celta
Spain,La Liga Primera,2,Sociedad,Espanol
Spain,La Liga Primera,2,Sevilla,Getafe
Spain,La Liga Primera,2,Villarreal,Girona
Spain,La Liga Primera,3,Alaves,Ath Madrid
Spain,La Liga Primera,3,Celta,Villarreal
Spain,La Liga Primera,3,Elche,Levante
Spain,La Liga Primera,3,Espanol,Osasuna
Spain,La Liga Primera,3,Girona,Sevilla
Spain,La Liga Primera,3,Oviedo,Sociedad
Spain,La Liga Primera,3,Betis,Ath Bilbao
Spain,La Liga Primera,3,Vallecano,Barcelona
Spain,La Liga Primera,3,Valencia,Getafe
Spain,La Liga Primera,3,Real Madrid,Mallorca
Spain,La Liga Primera,4,Ath Madrid,Villarreal
Spain,La Liga Primera,4,Barcelona,Valencia
Spain,La Liga Primera,4,Celta,Girona
Spain,La Liga Primera,4,Espanol,Mallorca
Spain,La Liga Primera,4,Getafe,Oviedo
Spain,La Liga Primera,4,Osasuna,Vallecano
Spain,La Liga Primera,4,Ath Bilbao,Alaves
Spain,La Liga Primera,4,Levante,Betis
Spain,La Liga Primera,4,Sevilla,Elche
Spain,La Liga Primera,4,Sociedad,Real Madrid
Spain,La Liga Primera,5,Alaves,Sevilla
Spain,La Liga Primera,5,Barcelona,Getafe
Spain,La Liga Primera,5,Betis,Sociedad
Spain,La Liga Primera,5,Elche,Oviedo
Spain,La Liga Primera,5,Girona,Levante
Spain,La Liga Primera,5,Valencia,Ath Bilbao
Spain,La Liga Primera,5,Mallorca,Ath Madrid
Spain,La Liga Primera,5,Vallecano,Celta
Spain,La Liga Primera,5,Real Madrid,Espanol
Spain,La Liga Primera,5,Villarreal,Osasuna
Spain,La Liga Primera,6,Ath Bilbao,Girona
Spain,La Liga Primera,6,Ath Madrid,Vallecano
Spain,La Liga Primera,6,Espanol,Valencia
Spain,La Liga Primera,6,Levante,Real Madrid
Spain,La Liga Primera,6,Sevilla,Villarreal
Spain,La Liga Primera,6,Getafe,Alaves
Spain,La Liga Primera,6,Oviedo,Barcelona
Spain,La Liga Primera,6,Celta,Betis
Spain,La Liga Primera,6,Osasuna,Elche
Spain,La Liga Primera,6,Sociedad,Mallorca
Spain,La Liga Primera,7,Ath Madrid,Real Madrid
Spain,La Liga Primera,7,Barcelona,Sociedad
Spain,La Liga Primera,7,Betis,Osasuna
Spain,La Liga Primera,7,Getafe,Levante
Spain,La Liga Primera,7,Vallecano,Sevilla
Spain,La Liga Primera,7,Mallorca,Alaves
Spain,La Liga Primera,7,Villarreal,Ath Bilbao
Spain,La Liga Primera,7,Elche,Celta
Spain,La Liga Primera,7,Girona,Espanol
Spain,La Liga Primera,7,Valencia,Oviedo
Spain,La Liga Primera,8,Alaves,Elche
Spain,La Liga Primera,8,Ath Bilbao,Mallorca
Spain,La Liga Primera,8,Girona,Valencia
Spain,La Liga Primera,8,Real Madrid,Villarreal
Spain,La Liga Primera,8,Celta,Ath Madrid
Spain,La Liga Primera,8,Sevilla,Barcelona
Spain,La Liga Primera,8,Espanol,Betis
Spain,La Liga Primera,8,Osasuna,Getafe
Spain,La Liga Primera,8,Oviedo,Levante
Spain,La Liga Primera,8,Sociedad,Vallecano
Spain,La Liga Primera,9,Alaves,Valencia
Spain,La Liga Primera,9,Ath Madrid,Osasuna
Spain,La Liga Primera,9,Barcelona,Girona
Spain,La Liga Primera,9,Celta,Sociedad
Spain,La Liga Primera,9,Getafe,Real Madrid
Spain,La Liga Primera,9,Levante,Vallecano
Spain,La Liga Primera,9,Elche,Ath Bilbao
Spain,La Liga Primera,9,Villarreal,Betis
Spain,La Liga Primera,9,Oviedo,Espanol
Spain,La Liga Primera,9,Sevilla,Mallorca
Spain,La Liga Primera,10,Ath Bilbao,Getafe
Spain,La Liga Primera,10,Girona,Oviedo
Spain,La Liga Primera,10,Sociedad,Sevilla
Spain,La Liga Primera,10,Valencia,Villarreal
Spain,La Liga Primera,10,Vallecano,Alaves
Spain,La Liga Primera,10,Betis,Ath Madrid
Spain,La Liga Primera,10,Real Madrid,Barcelona
Spain,La Liga Primera,10,Osasuna,Celta
Spain,La Liga Primera,10,Espanol,Elche
Spain,La Liga Primera,10,Mallorca,Levante
Spain,La Liga Primera,11,Alaves,Espanol
Spain,La Liga Primera,11,Ath Madrid,Sevilla
Spain,La Liga Primera,11,Barcelona,Elche
Spain,La Liga Primera,11,Betis,Mallorca
Spain,La Liga Primera,11,Getafe,Girona
Spain,La Liga Primera,11,Real Madrid,Valencia
Spain,La Liga Primera,11,Sociedad,Ath Bilbao
Spain,La Liga Primera,11,Levante,Celta
Spain,La Liga Primera,11,Oviedo,Osasuna
Spain,La Liga Primera,11,Villarreal,Vallecano
Spain,La Liga Primera,12,Ath Bilbao,Oviedo
Spain,La Liga Primera,12,Ath Madrid,Levante
Spain,La Liga Primera,12,Elche,Sociedad
Spain,La Liga Primera,12,Espanol,Villarreal
Spain,La Liga Primera,12,Vallecano,Real Madrid
Spain,La Liga Primera,12,Girona,Alaves
Spain,La Liga Primera,12,Celta,Barcelona
Spain,La Liga Primera,12,Valencia,Betis
