Country,League,Matchday,Hometeam,Awayteam
France,Ligue 2,1,Boulogne,Bastia
France,Ligue 2,1,Amiens,Reims
France,Ligue 2,1,Dunkerque,Clermont
France,Ligue 2,1,Laval,St Etienne
France,Ligue 2,1,Montpellier,Red Star
France,Ligue 2,1,Pau FC,Annecy
France,Ligue 2,1,Rodez,Nancy
France,Ligue 2,1,Troyes,Grenoble
France,Ligue 2,1,Guingamp,Le Mans
France,Ligue 2,2,Le Mans,Montpellier
France,Ligue 2,2,St Etienne,Rodez
France,Ligue 2,2,Annecy,Dunkerque
France,Ligue 2,2,Reims,Guingamp
France,Ligue 2,2,Bastia,Pau FC
France,Ligue 2,2,Clermont,Troyes
France,Ligue 2,2,Grenoble,Laval
France,Ligue 2,2,Nancy,Boulogne
France,Ligue 2,2,Red Star,Amiens
France,Ligue 2,3,Pau FC,Reims
France,Ligue 2,3,Boulogne,St Etienne
France,Ligue 2,3,Guingamp,Red Star
France,Ligue 2,3,Troyes,Montpellier
France,Ligue 2,3,Amiens,Annecy
France,Ligue 2,3,Clermont,Grenoble
France,Ligue 2,3,Dunkerque,Nancy
France,Ligue 2,3,Le Mans,Bastia
France,Ligue 2,3,Rodez,Laval
France,Ligue 2,4,St Etienne,Grenoble
France,Ligue 2,4,Bastia,Guingamp
France,Ligue 2,4,Reims,Le Mans
France,Ligue 2,4,Dunkerque,Troyes
France,Ligue 2,4,Laval,Clermont
France,Ligue 2,4,Montpellier,Amiens
France,Ligue 2,4,Nancy,Pau FC
France,Ligue 2,4,Red Star,Annecy
France,Ligue 2,4,Rodez,Boulogne
France,Ligue 2,5,Guingamp,Montpellier
France,Ligue 2,5,Clermont,St Etienne
France,Ligue 2,5,Annecy,Reims
France,Ligue 2,5,Grenoble,Dunkerque
France,Ligue 2,5,Amiens,Bastia
France,Ligue 2,5,Boulogne,Laval
France,Ligue 2,5,Le Mans,Rodez
France,Ligue 2,5,Pau FC,Red Star
France,Ligue 2,5,Troyes,Nancy
France,Ligue 2,6,St Etienne,Reims
France,Ligue 2,6,Montpellier,Bastia
France,Ligue 2,6,Troyes,Guingamp
France,Ligue 2,6,Boulogne,Pau FC
France,Ligue 2,6,Dunkerque,Le Mans
France,Ligue 2,6,Grenoble,Annecy
France,Ligue 2,6,Laval,Amiens
France,Ligue 2,6,Nancy,Red Star
France,Ligue 2,6,Rodez,Clermont
France,Ligue 2,7,Amiens,St Etienne
France,Ligue 2,7,Annecy,Nancy
France,Ligue 2,7,Bastia,Rodez
France,Ligue 2,7,Guingamp,Dunkerque
France,Ligue 2,7,Le Mans,Grenoble
France,Ligue 2,7,Montpellier,Boulogne
France,Ligue 2,7,Pau FC,Laval
France,Ligue 2,7,Red Star,Troyes
France,Ligue 2,7,Reims,Clermont
France,Ligue 2,8,Boulogne,Red Star
France,Ligue 2,8,St Etienne,Guingamp
France,Ligue 2,8,Dunkerque,Amiens
France,Ligue 2,8,Laval,Montpellier
France,Ligue 2,8,Clermont,Le Mans
France,Ligue 2,8,Grenoble,Bastia
France,Ligue 2,8,Nancy,Reims
France,Ligue 2,8,Rodez,Pau FC
France,Ligue 2,8,Troyes,Annecy
France,Ligue 2,9,Montpellier,St Etienne
France,Ligue 2,9,Red Star,Rodez
France,Ligue 2,9,Reims,Grenoble
France,Ligue 2,9,Amiens,Boulogne
France,Ligue 2,9,Annecy,Laval
France,Ligue 2,9,Bastia,Dunkerque
France,Ligue 2,9,Guingamp,Nancy
France,Ligue 2,9,Le Mans,Troyes
France,Ligue 2,9,Pau FC,Clermont
France,Ligue 2,10,Nancy,Amiens
France,Ligue 2,10,St Etienne,Le Mans
France,Ligue 2,10,Dunkerque,Montpellier
France,Ligue 2,10,Laval,Red Star
France,Ligue 2,10,Boulogne,Guingamp
France,Ligue 2,10,Clermont,Annecy
France,Ligue 2,10,Grenoble,Pau FC
France,Ligue 2,10,Rodez,Reims
France,Ligue 2,10,Troyes,Bastia
France,Ligue 2,11,Bastia,Laval
France,Ligue 2,11,Annecy,St Etienne
France,Ligue 2,11,Amiens,Rodez
France,Ligue 2,11,Montpellier,Nancy
France,Ligue 2,11,Guingamp,Clermont
France,Ligue 2,11,Le Mans,Boulogne
France,Ligue 2,11,Pau FC,Dunkerque
France,Ligue 2,11,Red Star,Grenoble
France,Ligue 2,11,Reims,Troyes
France,Ligue 2,12,Boulogne,Reims
France,Ligue 2,12,Clermont,Montpellier
France,Ligue 2,12,Dunkerque,Red Star
France,Ligue 2,12,Grenoble,Guingamp
France,Ligue 2,12,Laval,Le Mans
France,Ligue 2,12,Nancy,Bastia
France,Ligue 2,12,Rodez,Annecy
France,Ligue 2,12,St Etienne,Pau FC
France,Ligue 2,12,Troyes,Amiens
France,Ligue 2,13,Pau FC,Troyes
France,Ligue 2,13,Red Star,St Etienne
France,Ligue 2,13,Amiens,Grenoble
France,Ligue 2,13,Reims,Dunkerque
France,Ligue 2,13,Annecy,Boulogne
France,Ligue 2,13,Bastia,Clermont
France,Ligue 2,13,Guingamp,Laval
France,Ligue 2,13,Le Mans,Nancy
France,Ligue 2,13,Montpellier,Rodez
