Country,League,Matchday,Hometeam,Awayteam
Spain,Segunda Division,1,Almeria,Albacete
Spain,Segunda Division,1,Sp Gijon,Cordoba
Spain,Segunda Division,1,Huesca,Leganes
Spain,Segunda Division,1,Las Palmas,Andorra
Spain,Segunda Division,1,Cadiz,Mirandes
Spain,Segunda Division,1,Sociedad B,Zaragoza
Spain,Segunda Division,1,Granada,La Coruna
Spain,Segunda Division,1,Malaga,Eibar
Spain,Segunda Division,1,Santander,Castellon
Spain,Segunda Division,1,Burgos,Cultural Leonesa
Spain,Segunda Division,1,Valladolid,Ceuta
Spain,Segunda Division,2,Cordoba,Las Palmas
Spain,Segunda Division,2,Albacete,Santander
Spain,Segunda Division,2,Malaga,Sociedad B
Spain,Segunda Division,2,Cultural Leonesa,Almeria
Spain,Segunda Division,2,La Coruna,Burgos
Spain,Segunda Division,2,Zaragoza,Andorra
Spain,Segunda Division,2,Ceuta,Sp Gijon
Spain,Segunda Division,2,Mirandes,Huesca
Spain,Segunda Division,2,Castellon,Valladolid
Spain,Segunda Division,2,Leganes,Cadiz
Spain,Segunda Division,2,Eibar,Granada
Spain,Segunda Division,3,Leganes,La Coruna
Spain,Segunda Division,3,Huesca,Eibar
Spain,Segunda Division,3,Granada,Mirandes
Spain,Segunda Division,3,Las Palmas,Malaga
Spain,Segunda Division,3,Andorra,Burgos
Spain,Segunda Division,3,Cadiz,Albacete
Spain,Segunda Division,3,Castellon,Zaragoza
Spain,Segunda Division,3,Valladolid,Cordoba
Spain,Segunda Division,3,Santander,Ceuta
Spain,Segunda Division,3,Sp Gijon,Cultural Leonesa
Spain,Segunda Division,3,Sociedad B,Almeria
Spain,Segunda Division,4,Eibar,Andorra
Spain,Segunda Division,4,Almeria,Santander
Spain,Segunda Division,4,Cultural Leonesa,Leganes
Spain,Segunda Division,4,Burgos,Las Palmas
Spain,Segunda Division,4,Sociedad B,Cadiz
Spain,Segunda Division,4,Ceuta,Huesca
Spain,Segunda Division,4,Malaga,Granada
Spain,Segunda Division,4,Zaragoza,Valladolid
Spain,Segunda Division,4,La Coruna,Sp Gijon
Spain,Segunda Division,4,Cordoba,Castellon
Spain,Segunda Division,4,Albacete,Mirandes
Spain,Segunda Division,5,Zaragoza,Albacete
Spain,Segunda Division,5,Granada,Leganes
Spain,Segunda Division,5,Castellon,Ceuta
Spain,Segunda Division,5,Sp Gijon,Burgos
Spain,Segunda Division,5,Santander,Cultural Leonesa
Spain,Segunda Division,5,Andorra,Cordoba
Spain,Segunda Division,5,Valladolid,Almeria
Spain,Segunda Division,5,Huesca,Malaga
Spain,Segunda Division,5,Cadiz,Eibar
Spain,Segunda Division,5,Mirandes,La Coruna
Spain,Segunda Division,5,Las Palmas,Sociedad B
Spain,Segunda Division,6,Burgos,Granada
Spain,Segunda Division,6,Cordoba,Santander
Spain,Segunda Division,6,Eibar,Sociedad B
Spain,Segunda Division,6,Malaga,Cadiz
Spain,Segunda Division,6,Albacete,Valladolid
Spain,Segunda Division,6,Ceuta,Zaragoza
Spain,Segunda Division,6,Almeria,Sp Gijon
Spain,Segunda Division,6,Andorra,Mirandes
Spain,Segunda Division,6,Leganes,Las Palmas
Spain,Segunda Division,6,Cultural Leonesa,Castellon
Spain,Segunda Division,6,La Coruna,Huesca
Spain,Segunda Division,7,Leganes,Castellon
Spain,Segunda Division,7,Huesca,Granada
Spain,Segunda Division,7,Sp Gijon,Albacete
Spain,Segunda Division,7,Valladolid,Cultural Leonesa
Spain,Segunda Division,7,Burgos,Malaga
Spain,Segunda Division,7,Cadiz,Ceuta
Spain,Segunda Division,7,Sociedad B,Cordoba
Spain,Segunda Division,7,Las Palmas,Almeria
Spain,Segunda Division,7,Eibar,La Coruna
Spain,Segunda Division,7,Santander,Andorra
Spain,Segunda Division,7,Mirandes,Zaragoza
Spain,Segunda Division,8,Cultural Leonesa,Albacete
Spain,Segunda Division,8,Las Palmas,Cadiz
Spain,Segunda Division,8,Santander,Malaga
Spain,Segunda Division,8,Valladolid,Mirandes
Spain,Segunda Division,8,Castellon,Sp Gijon
Spain,Segunda Division,8,Zaragoza,Cordoba
Spain,Segunda Division,8,Granada,Sociedad B
Spain,Segunda Division,8,Andorra,Leganes
Spain,Segunda Division,8,Huesca,Burgos
Spain,Segunda Division,8,La Coruna,Almeria
Spain,Segunda Division,8,Ceuta,Eibar
Spain,Segunda Division,9,Cordoba,Cultural Leonesa
Spain,Segunda Division,9,Malaga,La Coruna
Spain,Segunda Division,9,Burgos,Valladolid
Spain,Segunda Division,9,Cadiz,Huesca
Spain,Segunda Division,9,Eibar,Castellon
Spain,Segunda Division,9,Sp Gijon,Santander
Spain,Segunda Division,9,Albacete,Ceuta
Spain,Segunda Division,9,Almeria,Zaragoza
Spain,Segunda Division,9,Sociedad B,Andorra
Spain,Segunda Division,9,Mirandes,Leganes
Spain,Segunda Division,9,Granada,Las Palmas
Spain,Segunda Division,10,Sociedad B,Huesca
Spain,Segunda Division,10,Cadiz,Burgos
Spain,Segunda Division,10,Las Palmas,Eibar
Spain,Segunda Division,10,Cordoba,Almeria
Spain,Segunda Division,10,Santander,La Coruna
Spain,Segunda Division,10,Castellon,Albacete
Spain,Segunda Division,10,Valladolid,Sp Gijon
Spain,Segunda Division,10,Leganes,Malaga
Spain,Segunda Division,10,Zaragoza,Cultural Leonesa
Spain,Segunda Division,10,Ceuta,Mirandes
Spain,Segunda Division,10,Andorra,Granada
Spain,Segunda Division,11,La Coruna,Valladolid
Spain,Segunda Division,11,Almeria,Castellon
Spain,Segunda Division,11,Sp Gijon,Zaragoza
Spain,Segunda Division,11,Malaga,Andorra
Spain,Segunda Division,11,Mirandes,Santander
Spain,Segunda Division,11,Burgos,Sociedad B
Spain,Segunda Division,11,Granada,Cadiz
Spain,Segunda Division,11,Albacete,Cordoba
Spain,Segunda Division,11,Eibar,Leganes
Spain,Segunda Division,11,Cultural Leonesa,Ceuta
Spain,Segunda Division,11,Huesca,Las Palmas
Spain,Segunda Division,12,Valladolid,Granada
Spain,Segunda Division,12,Zaragoza,La Coruna
Spain,Segunda Division,12,Castellon,Malaga
Spain,Segunda Division,12,Cordoba,Ceuta
Spain,Segunda Division,12,Sp Gijon,Las Palmas
Spain,Segunda Division,12,Andorra,Cadiz
Spain,Segunda Division,12,Almeria,Eibar
Spain,Segunda Division,12,Albacete,Huesca
Spain,Segunda Division,12,Leganes,Burgos
Spain,Segunda Division,12,Cultural Leonesa,Mirandes
Spain,Segunda Division,12,Santander,Sociedad B
Spain,Segunda Division,13,Ceuta,Almeria
Spain,Segunda Division,13,Burgos,Castellon
Spain,Segunda Division,13,Cadiz,Valladolid
Spain,Segunda Division,13,Granada,Zaragoza
Spain,Segunda Division,13,Las Palmas,Santander
Spain,Segunda Division,13,Malaga,Cordoba
Spain,Segunda Division,13,La Coruna,Cultural Leonesa
Spain,Segunda Division,13,Eibar,Albacete
Spain,Segunda Division,13,Huesca,Andorra
Spain,Segunda Division,13,Sociedad B,Leganes
Spain,Segunda Division,13,Mirandes,Sp Gijon
Spain,Segunda Division,14,Cultural Leonesa,Malaga
Spain,Segunda Division,14,Zaragoza,Huesca
Spain,Segunda Division,14,Cordoba,La Coruna
Spain,Segunda Division,14,Mirandes,Burgos
Spain,Segunda Division,14,Almeria,Cadiz
Spain,Segunda Division,14,Sp Gijon,Eibar
Spain,Segunda Division,14,Ceuta,Leganes
Spain,Segunda Division,14,Santander,Granada
Spain,Segunda Division,14,Albacete,Andorra
Spain,Segunda Division,14,Castellon,Sociedad B
Spain,Segunda Division,14,Valladolid,Las Palmas
Spain,Segunda Division,15,Sociedad B,Valladolid
Spain,Segunda Division,15,Malaga,Mirandes
Spain,Segunda Division,15,Burgos,Santander
Spain,Segunda Division,15,Cadiz,Cultural Leonesa
Spain,Segunda Division,15,Huesca,Sp Gijon
Spain,Segunda Division,15,La Coruna,Ceuta
Spain,Segunda Division,15,Granada,Cordoba
Spain,Segunda Division,15,Eibar,Zaragoza
Spain,Segunda Division,15,Leganes,Almeria
Spain,Segunda Division,15,Andorra,Castellon
Spain,Segunda Division,15,Las Palmas,Albacete
Spain,Segunda Division,16,Castellon,Las Palmas
Spain,Segunda Division,16,Cordoba,Cadiz
Spain,Segunda Division,16,Mirandes,Sociedad B
Spain,Segunda Division,16,Santander,Eibar
