Country,League,Matchday,Hometeam,Awayteam
Italy,Serie A,1,Atalanta,Pisa
Italy,Serie A,1,Cagliari,Fiorentina
Italy,Serie A,1,Como,Lazio
Italy,Serie A,1,Genoa,Lecce
Italy,Serie A,1,Inter,Torino
Italy,Serie A,1,Juventus,Parma
Italy,Serie A,1,Milan,Cremonese
Italy,Serie A,1,Roma,Bologna
Italy,Serie A,1,Sassuolo,Napoli
Italy,Serie A,1,Udinese,Verona
Italy,Serie A,2,Bologna,Como
Italy,Serie A,2,Cremonese,Sassuolo
Italy,Serie A,2,Genoa,Juventus
Italy,Serie A,2,Inter,Udinese
Italy,Serie A,2,Lazio,Verona
Italy,Serie A,2,Lecce,Milan
Italy,Serie A,2,Napoli,Cagliari
Italy,Serie A,2,Parma,Atalanta
Italy,Serie A,2,Pisa,Roma
Italy,Serie A,2,Torino,Fiorentina
Italy,Serie A,3,Atalanta,Lecce
Italy,Serie A,3,Cagliari,Parma
Italy,Serie A,3,Como,Genoa
Italy,Serie A,3,Fiorentina,Napoli
Italy,Serie A,3,Juventus,Inter
Italy,Serie A,3,Milan,Bologna
Italy,Serie A,3,Pisa,Udinese
Italy,Serie A,3,Roma,Torino
Italy,Serie A,3,Sassuolo,Lazio
Italy,Serie A,3,Verona,Cremonese
Italy,Serie A,4,Bologna,Genoa
Italy,Serie A,4,Cremonese,Parma
Italy,Serie A,4,Fiorentina,Como
Italy,Serie A,4,Inter,Sassuolo
Italy,Serie A,4,Lazio,Roma
Italy,Serie A,4,Lecce,Cagliari
Italy,Serie A,4,Napoli,Pisa
Italy,Serie A,4,Torino,Atalanta
Italy,Serie A,4,Udinese,Milan
Italy,Serie A,4,Verona,Juventus
Italy,Serie A,5,Cagliari,Inter
Italy,Serie A,5,Como,Cremonese
Italy,Serie A,5,Genoa,Lazio
Italy,Serie A,5,Juventus,Atalanta
Italy,Serie A,5,Lecce,Bologna
Italy,Serie A,5,Milan,Napoli
Italy,Serie A,5,Parma,Torino
Italy,Serie A,5,Pisa,Fiorentina
Italy,Serie A,5,Roma,Verona
Italy,Serie A,5,Sassuolo,Udinese
Italy,Serie A,6,Atalanta,Como
Italy,Serie A,6,Bologna,Pisa
Italy,Serie A,6,Fiorentina,Roma
Italy,Serie A,6,Inter,Cremonese
Italy,Serie A,6,Juventus,Milan
Italy,Serie A,6,Lazio,Torino
Italy,Serie A,6,Napoli,Genoa
Italy,Serie A,6,Parma,Lecce
Italy,Serie A,6,Udinese,Cagliari
Italy,Serie A,6,Verona,Sassuolo
Italy,Serie A,7,Atalanta,Lazio
Italy,Serie A,7,Cagliari,Bologna
Italy,Serie A,7,Como,Juventus
Italy,Serie A,7,Cremonese,Udinese
Italy,Serie A,7,Genoa,Parma
Italy,Serie A,7,Lecce,Sassuolo
Italy,Serie A,7,Milan,Fiorentina
Italy,Serie A,7,Pisa,Verona
Italy,Serie A,7,Roma,Inter
Italy,Serie A,7,Torino,Napoli
Italy,Serie A,8,Cremonese,Atalanta
Italy,Serie A,8,Fiorentina,Bologna
Italy,Serie A,8,Lazio,Juventus
Italy,Serie A,8,Milan,Pisa
Italy,Serie A,8,Napoli,Inter
Italy,Serie A,8,Parma,Como
Italy,Serie A,8,Sassuolo,Roma
Italy,Serie A,8,Torino,Genoa
Italy,Serie A,8,Udinese,Lecce
Italy,Serie A,8,Verona,Cagliari
Italy,Serie A,9,Atalanta,Milan
Italy,Serie A,9,Bologna,Torino
Italy,Serie A,9,Cagliari,Sassuolo
Italy,Serie A,9,Como,Verona
