Country,League,Matchday,Hometeam,Awayteam
Italy,Serie B,1,Sampdoria,Modena
Italy,Serie B,1,Catanzaro,Sudtirol
Italy,Serie B,1,Frosinone,Avellino
Italy,Serie B,1,Spezia,Carrarese
Italy,Serie B,1,Venezia,Bari
Italy,Serie B,1,Monza,Mantova
Italy,Serie B,1,Palermo,Reggiana
Italy,Serie B,1,Empoli,Padova
Italy,Serie B,1,Virtus Entella,Juve Stabia
Italy,Serie B,1,Pescara,Cesena
Italy,Serie B,2,Bari,Monza
Italy,Serie B,2,Modena,Avellino
Italy,Serie B,2,Carrarese,Padova
Italy,Serie B,2,Sudtirol,Sampdoria
Italy,Serie B,2,Cesena,Virtus Entella
Italy,Serie B,2,Palermo,Frosinone
Italy,Serie B,2,Spezia,Catanzaro
Italy,Serie B,2,Juve Stabia,Venezia
Italy,Serie B,2,Mantova,Pescara
Italy,Serie B,2,Reggiana,Empoli
Italy,Serie B,3,Empoli,Spezia
Italy,Serie B,3,Sudtirol,Palermo
Italy,Serie B,3,Virtus Entella,Mantova
Italy,Serie B,3,Sampdoria,Cesena
Italy,Serie B,3,Catanzaro,Carrarese
Italy,Serie B,3,Juve Stabia,Reggiana
Italy,Serie B,3,Modena,Bari
Italy,Serie B,3,Padova,Frosinone
Italy,Serie B,3,Pescara,Venezia
Italy,Serie B,3,Avellino,Monza
Italy,Serie B,4,Padova,Virtus Entella
Italy,Serie B,4,Pescara,Empoli
Italy,Serie B,4,Carrarese,Avellino
Italy,Serie B,4,Mantova,Modena
Italy,Serie B,4,Monza,Sampdoria
Italy,Serie B,4,Reggiana,Catanzaro
Italy,Serie B,4,Spezia,Juve Stabia
Italy,Serie B,4,Venezia,Cesena
Italy,Serie B,4,Palermo,Bari
Italy,Serie B,4,Frosinone,Sudtirol
Italy,Serie B,5,Empoli,Carrarese
Italy,Serie B,5,Modena,Pescara
Italy,Serie B,5,Bari,Sampdoria
Italy,Serie B,5,Monza,Padova
Italy,Serie B,5,Avellino,Virtus Entella
Italy,Serie B,5,Cesena,Palermo
Italy,Serie B,5,Mantova,Frosinone
Italy,Serie B,5,Sudtirol,Reggiana
Italy,Serie B,5,Venezia,Spezia
Italy,Serie B,5,Catanzaro,Juve Stabia
Italy,Serie B,6,Carrarese,Modena
Italy,Serie B,6,Empoli,Monza
Italy,Serie B,6,Pescara,Sudtirol
Italy,Serie B,6,Sampdoria,Catanzaro
Italy,Serie B,6,Virtus Entella,Bari
Italy,Serie B,6,Frosinone,Cesena
Italy,Serie B,6,Juve Stabia,Mantova
Italy,Serie B,6,Padova,Avellino
Italy,Serie B,6,Palermo,Venezia
Italy,Serie B,6,Reggiana,Spezia
Italy,Serie B,7,Modena,Virtus Entella
Italy,Serie B,7,Sampdoria,Pescara
Italy,Serie B,7,Carrarese,Juve Stabia
Italy,Serie B,7,Sudtirol,Empoli
Italy,Serie B,7,Cesena,Reggiana
Italy,Serie B,7,Spezia,Palermo
Italy,Serie B,7,Avellino,Mantova
Italy,Serie B,7,Bari,Padova
Italy,Serie B,7,Monza,Catanzaro
Italy,Serie B,7,Venezia,Frosinone
Italy,Serie B,8,Catanzaro,Padova
Italy,Serie B,8,Empoli,Venezia
Italy,Serie B,8,Palermo,Modena
Italy,Serie B,8,Spezia,Cesena
Italy,Serie B,8,Juve Stabia,Avellino
Italy,Serie B,8,Frosinone,Monza
Italy,Serie B,8,Mantova,Sudtirol
Italy,Serie B,8,Pescara,Carrarese
Italy,Serie B,8,Reggiana,Bari
Italy,Serie B,8,Virtus Entella,Sampdoria
Italy,Serie B,9,Bari,Mantova
Italy,Serie B,9,Padova,Juve Stabia
Italy,Serie B,9,Catanzaro,Palermo
Italy,Serie B,9,Carrarese,Venezia
Italy,Serie B,9,Avellino,Spezia
Italy,Serie B,9,Virtus Entella,Pescara
Italy,Serie B,9,Monza,Reggiana
Italy,Serie B,9,Sampdoria,Frosinone
Italy,Serie B,9,Sudtirol,Cesena
Italy,Serie B,9,Modena,Empoli
Italy,Serie B,10,Mantova,Catanzaro
Italy,Serie B,10,Spezia,Padova
Italy,Serie B,10,Venezia,Sudtirol
Italy,Serie B,10,Cesena,Carrarese
Italy,Serie B,10,Empoli,Sampdoria
Italy,Serie B,10,Frosinone,Virtus Entella
Italy,Serie B,10,Palermo,Monza
Italy,Serie B,10,Pescara,Avellino
Italy,Serie B,10,Reggiana,Modena
Italy,Serie B,10,Juve Stabia,Bari
Italy,Serie B,11,Sampdoria,Mantova
Italy,Serie B,11,Monza,Spezia
Italy,Serie B,11,Bari,Cesena
Italy,Serie B,11,Catanzaro,Venezia
Italy,Serie B,11,Modena,Juve Stabia
Italy,Serie B,11,Palermo,Pescara
Italy,Serie B,11,Virtus Entella,Empoli
Italy,Serie B,11,Carrarese,Frosinone
Italy,Serie B,11,Padova,Sudtirol
Italy,Serie B,11,Avellino,Reggiana
Italy,Serie B,12,Pescara,Monza
Italy,Serie B,12,Cesena,Avellino
Italy,Serie B,12,Venezia,Sampdoria
Italy,Serie B,12,Juve Stabia,Palermo
Italy,Serie B,12,Empoli,Catanzaro
Italy,Serie B,12,Frosinone,Modena
Italy,Serie B,12,Mantova,Padova
Italy,Serie B,12,Reggiana,Virtus Entella
Italy,Serie B,12,Sudtirol,Carrarese
Italy,Serie B,12,Spezia,Bari
Italy,Serie B,13,Sampdoria,Juve Stabia
Italy,Serie B,13,Monza,Cesena
Italy,Serie B,13,Mantova,Spezia
Italy,Serie B,13,Modena,Sudtirol
Italy,Serie B,13,Bari,Frosinone
Italy,Serie B,13,Padova,Venezia
Italy,Serie B,13,Avellino,Empoli
Italy,Serie B,13,Carrarese,Reggiana
Italy,Serie B,13,Virtus Entella,Palermo
Italy,Serie B,13,Catanzaro,Pescara
Italy,Serie B,14,Spezia,Sampdoria
Italy,Serie B,14,Juve Stabia,Monza
Italy,Serie B,14,Palermo,Carrarese
Italy,Serie B,14,Catanzaro,Virtus Entella
Italy,Serie B,14,Empoli,Bari
Italy,Serie B,14,Pescara,Padova
Italy,Serie B,14,Reggiana,Frosinone
Italy,Serie B,14,Sudtirol,Avellino
Italy,Serie B,14,Venezia,Mantova
Italy,Serie B,14,Cesena,Modena
Italy,Serie B,15,Empoli,Palermo
Italy,Serie B,15,Sampdoria,Carrarese
Italy,Serie B,15,Modena,Catanzaro
Italy,Serie B,15,Avellino,Venezia
Italy,Serie B,15,Frosinone,Juve Stabia
Italy,Serie B,15,Mantova,Reggiana
Italy,Serie B,15,Monza,Sudtirol
Italy,Serie B,15,Padova,Cesena
Italy,Serie B,15,Bari,Pescara
Italy,Serie B,15,Virtus Entella,Spezia
Italy,Serie B,16,Palermo,Sampdoria
Italy,Serie B,16,Juve Stabia,Empoli
Italy,Serie B,16,Reggiana,Padova
Italy,Serie B,16,Spezia,Modena
Italy,Serie B,16,Sudtirol,Bari
Italy,Serie B,16,Venezia,Monza
Italy,Serie B,16,Catanzaro,Avellino
Italy,Serie B,16,Cesena,Mantova
