Country,League,Matchday,Hometeam,Awayteam
Turkey,Super Lig,1,Gaziantep,Galatasaray
Turkey,Super Lig,1,Samsunspor,Genclerbirligi
Turkey,Super Lig,1,Antalyaspor,Kasimpasa
Turkey,Super Lig,1,Rizespor,Goztep
Turkey,Super Lig,1,Eyupspor,Konyaspor
Turkey,Super Lig,1,Trabzonspor,Kocaelispor
Turkey,Super Lig,1,Karagumruk,Buyuksehyr
Turkey,Super Lig,1,Fenerbahce,Alanyaspor
Turkey,Super Lig,1,Kayserispor,Besiktas
Turkey,Super Lig,2,Galatasaray,Karagumruk
Turkey,Super Lig,2,Kocaelispor,Samsunspor
Turkey,Super Lig,2,Alanyaspor,Rizespor
Turkey,Super Lig,2,Goztep,Fenerbahce
Turkey,Super Lig,2,Konyaspor,Gaziantep
Turkey,Super Lig,2,Genclerbirligi,Antalyaspor
Turkey,Super Lig,2,Besiktas,Eyupspor
Turkey,Super Lig,2,Buyuksehyr,Kayserispor
Turkey,Super Lig,2,Kasimpasa,Trabzonspor
Turkey,Super Lig,3,Konyaspor,Besiktas
Turkey,Super Lig,3,Rizespor,Buyuksehyr
Turkey,Super Lig,3,Karagumruk,Goztep
Turkey,Super Lig,3,Gaziantep,Genclerbirligi
Turkey,Super Lig,3,Fenerbahce,Kocaelispor
Turkey,Super Lig,3,Trabzonspor,Antalyaspor
Turkey,Super Lig,3,Kayserispor,Galatasaray
Turkey,Super Lig,3,Eyupspor,Alanyaspor
Turkey,Super Lig,3,Samsunspor,Kasimpasa
Turkey,Super Lig,4,Goztep,Konyaspor
Turkey,Super Lig,4,Kasimpasa,Gaziantep
Turkey,Super Lig,4,Kocaelispor,Kayserispor
Turkey,Super Lig,4,Antalyaspor,Karagumruk
Turkey,Super Lig,4,Galatasaray,Rizespor
Turkey,Super Lig,4,Buyuksehyr,Eyupspor
Turkey,Super Lig,4,Genclerbirligi,Fenerbahce
Turkey,Super Lig,4,Trabzonspor,Samsunspor
Turkey,Super Lig,4,Alanyaspor,Besiktas
Turkey,Super Lig,5,Eyupspor,Galatasaray
Turkey,Super Lig,5,Samsunspor,Antalyaspor
Turkey,Super Lig,5,Karagumruk,Kasimpasa
Turkey,Super Lig,5,Konyaspor,Alanyaspor
Turkey,Super Lig,5,Besiktas,Buyuksehyr
Turkey,Super Lig,5,Kayserispor,Goztep
Turkey,Super Lig,5,Gaziantep,Kocaelispor
Turkey,Super Lig,5,Fenerbahce,Trabzonspor
Turkey,Super Lig,5,Rizespor,Genclerbirligi
Turkey,Super Lig,6,Goztep,Besiktas
Turkey,Super Lig,6,Genclerbirligi,Eyupspor
Turkey,Super Lig,6,Antalyaspor,Kayserispor
Turkey,Super Lig,6,Trabzonspor,Gaziantep
Turkey,Super Lig,6,Buyuksehyr,Alanyaspor
Turkey,Super Lig,6,Kocaelispor,Rizespor
Turkey,Super Lig,6,Kasimpasa,Fenerbahce
Turkey,Super Lig,6,Samsunspor,Karagumruk
Turkey,Super Lig,6,Galatasaray,Konyaspor
Turkey,Super Lig,7,Alanyaspor,Galatasaray
Turkey,Super Lig,7,Eyupspor,Goztep
Turkey,Super Lig,7,Gaziantep,Samsunspor
Turkey,Super Lig,7,Karagumruk,Trabzonspor
Turkey,Super Lig,7,Konyaspor,Buyuksehyr
Turkey,Super Lig,7,Rizespor,Kasimpasa
Turkey,Super Lig,7,Fenerbahce,Antalyaspor
Turkey,Super Lig,7,Kayserispor,Genclerbirligi
Turkey,Super Lig,7,Besiktas,Kocaelispor
Turkey,Super Lig,8,Antalyaspor,Rizespor
Turkey,Super Lig,8,Trabzonspor,Kayserispor
Turkey,Super Lig,8,Genclerbirligi,Alanyaspor
Turkey,Super Lig,8,Kocaelispor,Eyupspor
Turkey,Super Lig,8,Galatasaray,Besiktas
Turkey,Super Lig,8,Kasimpasa,Konyaspor
Turkey,Super Lig,8,Karagumruk,Gaziantep
Turkey,Super Lig,8,Samsunspor,Fenerbahce
Turkey,Super Lig,8,Goztep,Buyuksehyr
Turkey,Super Lig,9,Konyaspor,Kocaelispor
Turkey,Super Lig,9,Besiktas,Genclerbirligi
Turkey,Super Lig,9,Rizespor,Trabzonspor
Turkey,Super Lig,9,Buyuksehyr,Galatasaray
Turkey,Super Lig,9,Kayserispor,Samsunspor
Turkey,Super Lig,9,Alanyaspor,Goztep
Turkey,Super Lig,9,Gaziantep,Antalyaspor
Turkey,Super Lig,9,Fenerbahce,Karagumruk
Turkey,Super Lig,9,Eyupspor,Kasimpasa
Turkey,Super Lig,10,Karagumruk,Kayserispor
Turkey,Super Lig,10,Kocaelispor,Alanyaspor
Turkey,Super Lig,10,Trabzonspor,Eyupspor
Turkey,Super Lig,10,Antalyaspor,Buyuksehyr
Turkey,Super Lig,10,Galatasaray,Goztep
Turkey,Super Lig,10,Genclerbirligi,Konyaspor
Turkey,Super Lig,10,Kasimpasa,Besiktas
Turkey,Super Lig,10,Samsunspor,Rizespor
Turkey,Super Lig,10,Gaziantep,Fenerbahce
Turkey,Super Lig,11,Buyuksehyr,Kocaelispor
Turkey,Super Lig,11,Goztep,Genclerbirligi
Turkey,Super Lig,11,Galatasaray,Trabzonspor
Turkey,Super Lig,11,Konyaspor,Samsunspor
Turkey,Super Lig,11,Kayserispor,Kasimpasa
Turkey,Super Lig,11,Besiktas,Fenerbahce
Turkey,Super Lig,11,Eyupspor,Antalyaspor
Turkey,Super Lig,11,Alanyaspor,Gaziantep
Turkey,Super Lig,11,Rizespor,Karagumruk
Turkey,Super Lig,12,Genclerbirligi,Buyuksehyr
Turkey,Super Lig,12,Gaziantep,Rizespor
Turkey,Super Lig,12,Trabzonspor,Alanyaspor
Turkey,Super Lig,12,Kasimpasa,Goztep
Turkey,Super Lig,12,Antalyaspor,Besiktas
Turkey,Super Lig,12,Karagumruk,Konyaspor
Turkey,Super Lig,12,Kocaelispor,Galatasaray
Turkey,Super Lig,12,Samsunspor,Eyupspor
Turkey,Super Lig,12,Fenerbahce,Kayserispor
Turkey,Super Lig,13,Kayserispor,Gaziantep
Turkey,Super Lig,13,Eyupspor,Karagumruk
Turkey,Super Lig,13,Galatasaray,Genclerbirligi
Turkey,Super Lig,13,Goztep,Kocaelispor
Turkey,Super Lig,13,Besiktas,Samsunspor
Turkey,Super Lig,13,Alanyaspor,Kasimpasa
Turkey,Super Lig,13,Rizespor,Fenerbahce
Turkey,Super Lig,13,Konyaspor,Antalyaspor
Turkey,Super Lig,13,Buyuksehyr,Trabzonspor
Turkey,Super Lig,14,Kocaelispor,Genclerbirligi
Turkey,Super Lig,14,Rizespor,Kayserispor
Turkey,Super Lig,14,Gaziantep,Eyupspor
Turkey,Super Lig,14,Kasimpasa,Buyuksehyr
Turkey,Super Lig,14,Trabzonspor,Konyaspor
Turkey,Super Lig,14,Antalyaspor,Goztep
Turkey,Super Lig,14,Karagumruk,Besiktas
Turkey,Super Lig,14,Samsunspor,Alanyaspor
Turkey,Super Lig,14,Fenerbahce,Galatasaray
Turkey,Super Lig,15,Galatasaray,Samsunspor
Turkey,Super Lig,15,Eyupspor,Kayserispor
Turkey,Super Lig,15,Konyaspor,Rizespor
Turkey,Super Lig,15,Buyuksehyr,Fenerbahce
Turkey,Super Lig,15,Genclerbirligi,Karagumruk
Turkey,Super Lig,15,Kocaelispor,Kasimpasa
Turkey,Super Lig,15,Goztep,Trabzonspor
Turkey,Super Lig,15,Besiktas,Gaziantep
Turkey,Super Lig,15,Alanyaspor,Antalyaspor
Turkey,Super Lig,16,Kasimpasa,Genclerbirligi
Turkey,Super Lig,16,Rizespor,Eyupspor
Turkey,Super Lig,16,Kayserispor,Alanyaspor
Turkey,Super Lig,16,Antalyaspor,Galatasaray
Turkey,Super Lig,16,Gaziantep,Goztep
Turkey,Super Lig,16,Karagumruk,Kocaelispor
Turkey,Super Lig,16,Trabzonspor,Besiktas
Turkey,Super Lig,16,Samsunspor,Buyuksehyr
Turkey,Super Lig,16,Fenerbahce,Konyaspor
Turkey,Super Lig,17,Eyupspor,Fenerbahce
Turkey,Super Lig,17,Konyaspor,Kayserispor
Turkey,Super Lig,17,Besiktas,Rizespor
Turkey,Super Lig,17,Alanyaspor,Karagumruk
Turkey,Super Lig,17,Buyuksehyr,Gaziantep
Turkey,Super Lig,17,Goztep,Samsunspor
Turkey,Super Lig,17,Galatasaray,Kasimpasa
Turkey,Super Lig,17,Genclerbirligi,Trabzonspor
Turkey,Super Lig,17,Kocaelispor,Antalyaspor
Turkey,Super Lig,18,Konyaspor,Eyupspor
Turkey,Super Lig,18,Kasimpasa,Antalyaspor
Turkey,Super Lig,18,Kocaelispor,Trabzonspor
Turkey,Super Lig,18,Genclerbirligi,Samsunspor
Turkey,Super Lig,18,Buyuksehyr,Karagumruk
Turkey,Super Lig,18,Galatasaray,Gaziantep
Turkey,Super Lig,18,Alanyaspor,Fenerbahce
Turkey,Super Lig,18,Goztep,Rizespor
Turkey,Super Lig,18,Besiktas,Kayserispor
Turkey,Super Lig,19,Eyupspor,Besiktas
Turkey,Super Lig,19,Trabzonspor,Kasimpasa
Turkey,Super Lig,19,Gaziantep,Konyaspor
Turkey,Super Lig,19,Rizespor,Alanyaspor
Turkey,Super Lig,19,Kayserispor,Buyuksehyr
Turkey,Super Lig,19,Fenerbahce,Goztep
Turkey,Super Lig,19,Karagumruk,Galatasaray
Turkey,Super Lig,19,Antalyaspor,Genclerbirligi
Turkey,Super Lig,19,Samsunspor,Kocaelispor
Turkey,Super Lig,20,Alanyaspor,Eyupspor
Turkey,Super Lig,20,Besiktas,Konyaspor
Turkey,Super Lig,20,Antalyaspor,Trabzonspor
Turkey,Super Lig,20,Kasimpasa,Samsunspor
Turkey,Super Lig,20,Goztep,Karagumruk
Turkey,Super Lig,20,Genclerbirligi,Gaziantep
Turkey,Super Lig,20,Kocaelispor,Fenerbahce
Turkey,Super Lig,20,Buyuksehyr,Rizespor
Turkey,Super Lig,20,Galatasaray,Kayserispor
Turkey,Super Lig,21,Eyupspor,Buyuksehyr
Turkey,Super Lig,21,Gaziantep,Kasimpasa
Turkey,Super Lig,21,Karagumruk,Antalyaspor
Turkey,Super Lig,21,Samsunspor,Trabzonspor
Turkey,Super Lig,21,Besiktas,Alanyaspor
Turkey,Super Lig,21,Konyaspor,Goztep
Turkey,Super Lig,21,Rizespor,Galatasaray
Turkey,Super Lig,21,Fenerbahce,Genclerbirligi
Turkey,Super Lig,21,Kayserispor,Kocaelispor
Turkey,Super Lig,22,Galatasaray,Eyupspor
Turkey,Super Lig,22,Alanyaspor,Konyaspor
Turkey,Super Lig,22,Buyuksehyr,Besiktas
Turkey,Super Lig,22,Antalyaspor,Samsunspor
Turkey,Super Lig,22,Kasimpasa,Karagumruk
Turkey,Super Lig,22,Kocaelispor,Gaziantep
Turkey,Super Lig,22,Trabzonspor,Fenerbahce
Turkey,Super Lig,22,Genclerbirligi,Rizespor
Turkey,Super Lig,22,Goztep,Kayserispor
Turkey,Super Lig,23,Eyupspor,Genclerbirligi
Turkey,Super Lig,23,Fenerbahce,Kasimpasa
Turkey,Super Lig,23,Kayserispor,Antalyaspor
Turkey,Super Lig,23,Gaziantep,Trabzonspor
Turkey,Super Lig,23,Karagumruk,Samsunspor
Turkey,Super Lig,23,Alanyaspor,Buyuksehyr
Turkey,Super Lig,23,Besiktas,Goztep
Turkey,Super Lig,23,Konyaspor,Galatasaray
Turkey,Super Lig,23,Rizespor,Kocaelispor
Turkey,Super Lig,24,Goztep,Eyupspor
Turkey,Super Lig,24,Buyuksehyr,Konyaspor
Turkey,Super Lig,24,Kocaelispor,Besiktas
Turkey,Super Lig,24,Galatasaray,Alanyaspor
Turkey,Super Lig,24,Trabzonspor,Karagumruk
Turkey,Super Lig,24,Samsunspor,Gaziantep
Turkey,Super Lig,24,Antalyaspor,Fenerbahce
Turkey,Super Lig,24,Kasimpasa,Rizespor
Turkey,Super Lig,24,Genclerbirligi,Kayserispor
Turkey,Super Lig,25,Eyupspor,Kocaelispor
Turkey,Super Lig,25,Konyaspor,Kasimpasa
Turkey,Super Lig,25,Rizespor,Antalyaspor
Turkey,Super Lig,25,Kayserispor,Trabzonspor
Turkey,Super Lig,25,Fenerbahce,Samsunspor
Turkey,Super Lig,25,Gaziantep,Karagumruk
Turkey,Super Lig,25,Buyuksehyr,Goztep
Turkey,Super Lig,25,Besiktas,Galatasaray
Turkey,Super Lig,25,Alanyaspor,Genclerbirligi
Turkey,Super Lig,26,Kasimpasa,Eyupspor
Turkey,Super Lig,26,Kocaelispor,Konyaspor
Turkey,Super Lig,26,Genclerbirligi,Besiktas
Turkey,Super Lig,26,Goztep,Alanyaspor
Turkey,Super Lig,26,Galatasaray,Buyuksehyr
Turkey,Super Lig,26,Antalyaspor,Gaziantep
Turkey,Super Lig,26,Karagumruk,Fenerbahce
Turkey,Super Lig,26,Trabzonspor,Rizespor
Turkey,Super Lig,26,Samsunspor,Kayserispor
Turkey,Super Lig,27,Eyupspor,Trabzonspor
Turkey,Super Lig,27,Besiktas,Kasimpasa
Turkey,Super Lig,27,Buyuksehyr,Antalyaspor
Turkey,Super Lig,27,Rizespor,Samsunspor
Turkey,Super Lig,27,Kayserispor,Karagumruk
Turkey,Super Lig,27,Fenerbahce,Gaziantep
Turkey,Super Lig,27,Goztep,Galatasaray
Turkey,Super Lig,27,Konyaspor,Genclerbirligi
Turkey,Super Lig,27,Alanyaspor,Kocaelispor
Turkey,Super Lig,28,Antalyaspor,Eyupspor
Turkey,Super Lig,28,Samsunspor,Konyaspor
Turkey,Super Lig,28,Fenerbahce,Besiktas
Turkey,Super Lig,28,Gaziantep,Alanyaspor
Turkey,Super Lig,28,Kocaelispor,Buyuksehyr
Turkey,Super Lig,28,Genclerbirligi,Goztep
Turkey,Super Lig,28,Trabzonspor,Galatasaray
Turkey,Super Lig,28,Karagumruk,Rizespor
Turkey,Super Lig,28,Kasimpasa,Kayserispor
Turkey,Super Lig,29,Eyupspor,Samsunspor
Turkey,Super Lig,29,Goztep,Kasimpasa
Turkey,Super Lig,29,Besiktas,Antalyaspor
Turkey,Super Lig,29,Alanyaspor,Trabzonspor
Turkey,Super Lig,29,Konyaspor,Karagumruk
Turkey,Super Lig,29,Rizespor,Gaziantep
Turkey,Super Lig,29,Kayserispor,Fenerbahce
Turkey,Super Lig,29,Buyuksehyr,Genclerbirligi
Turkey,Super Lig,29,Galatasaray,Kocaelispor
Turkey,Super Lig,30,Karagumruk,Eyupspor
Turkey,Super Lig,30,Antalyaspor,Konyaspor
Turkey,Super Lig,30,Samsunspor,Besiktas
Turkey,Super Lig,30,Kasimpasa,Alanyaspor
Turkey,Super Lig,30,Trabzonspor,Buyuksehyr
Turkey,Super Lig,30,Kocaelispor,Goztep
Turkey,Super Lig,30,Genclerbirligi,Galatasaray
Turkey,Super Lig,30,Fenerbahce,Rizespor
Turkey,Super Lig,30,Gaziantep,Kayserispor
Turkey,Super Lig,31,Eyupspor,Gaziantep
Turkey,Super Lig,31,Buyuksehyr,Kasimpasa
Turkey,Super Lig,31,Goztep,Antalyaspor
Turkey,Super Lig,31,Konyaspor,Trabzonspor
Turkey,Super Lig,31,Alanyaspor,Samsunspor
Turkey,Super Lig,31,Besiktas,Karagumruk
Turkey,Super Lig,31,Galatasaray,Fenerbahce
Turkey,Super Lig,31,Kayserispor,Rizespor
Turkey,Super Lig,31,Genclerbirligi,Kocaelispor
Turkey,Super Lig,32,Kayserispor,Eyupspor
Turkey,Super Lig,32,Rizespor,Konyaspor
Turkey,Super Lig,32,Gaziantep,Besiktas
Turkey,Super Lig,32,Antalyaspor,Alanyaspor
Turkey,Super Lig,32,Fenerbahce,Buyuksehyr
Turkey,Super Lig,32,Trabzonspor,Goztep
Turkey,Super Lig,32,Samsunspor,Galatasaray
Turkey,Super Lig,32,Karagumruk,Genclerbirligi
Turkey,Super Lig,32,Kasimpasa,Kocaelispor
Turkey,Super Lig,33,Eyupspor,Rizespor
Turkey,Super Lig,33,Genclerbirligi,Kasimpasa
Turkey,Super Lig,33,Galatasaray,Antalyaspor
Turkey,Super Lig,33,Besiktas,Trabzonspor
Turkey,Super Lig,33,Buyuksehyr,Samsunspor
Turkey,Super Lig,33,Kocaelispor,Karagumruk
Turkey,Super Lig,33,Goztep,Gaziantep
Turkey,Super Lig,33,Konyaspor,Fenerbahce
Turkey,Super Lig,33,Alanyaspor,Kayserispor
Turkey,Super Lig,34,Fenerbahce,Eyupspor
Turkey,Super Lig,34,Kayserispor,Konyaspor
Turkey,Super Lig,34,Rizespor,Besiktas
Turkey,Super Lig,34,Karagumruk,Alanyaspor
Turkey,Super Lig,34,Gaziantep,Buyuksehyr
Turkey,Super Lig,34,Samsunspor,Goztep
Turkey,Super Lig,34,Kasimpasa,Galatasaray
Turkey,Super Lig,34,Trabzonspor,Genclerbirligi
Turkey,Super Lig,34,Antalyaspor,Kocaelispor
